iter	RMSE
0	3.103994942
1	2.996502527
2	2.901696642
3	2.82469427
4	2.754564832
5	2.692165899
6	2.635111373
7	2.597440526
8	2.559625251
9	2.52183932
10	2.488796969
11	2.457191739
12	2.431897186
13	2.407473812
14	2.386403891
15	2.363161323
16	2.346839215
17	2.325067267
18	2.309751037
19	2.297758402
20	2.284011726
21	2.268731517
22	2.256411905
23	2.244939363
24	2.236720846
25	2.226167754
26	2.217390382
27	2.207418966
28	2.199209381
29	2.191768381
30	2.1858578
31	2.178865729
32	2.171540425
33	2.168724904
34	2.164323117
35	2.155966757
36	2.149407999
37	2.13970775
38	2.135158056
39	2.130640402
40	2.126271508
41	2.12149379
42	2.114270222
43	2.110319711
44	2.108205267
45	2.103806329
46	2.099048374
47	2.093121904
48	2.08844949
49	2.084326831
50	2.08415441
51	2.079988528
52	2.07603653
53	2.073667853
54	2.070005482
55	2.067436029
56	2.065316523
57	2.058616756
58	2.056333625
59	2.049957627
60	2.044654089
61	2.041412989
62	2.040300482
63	2.035163622
64	2.032129171
65	2.028917743
66	2.026824763
67	2.025076446
68	2.021179299
69	2.018694536
70	2.01578569
71	2.01402451
72	2.013268637
73	2.009492452
74	2.007055156
75	2.003504478
76	2.00204592
77	2.000595758
78	1.995934512
79	1.99294403
80	1.991190717
81	1.986586757
82	1.984902891
83	1.98303381
84	1.98116846
85	1.979792461
86	1.973998603
87	1.971560915
88	1.967537879
89	1.962851925
90	1.959980997
91	1.957915454
92	1.956392857
93	1.954614311
94	1.95248956
95	1.94877635
96	1.946373217
97	1.944237494
98	1.941988362
99	1.938521757
