iter	Passed	Remaining
0	35	3516
1	67	3312
2	99	3220
3	133	3207
4	166	3157
5	197	3097
6	233	3108
7	266	3064
8	297	3007
9	331	2985
10	363	2941
11	395	2900
12	425	2848
13	458	2813
14	490	2781
15	525	2758
16	565	2762
17	603	2747
18	635	2708
19	669	2677
20	698	2627
21	730	2589
22	762	2553
23	795	2518
24	826	2479
25	857	2439
26	891	2409
27	922	2372
28	953	2335
29	984	2298
30	1019	2268
31	1062	2256
32	1109	2253
33	1148	2229
34	1187	2205
35	1222	2173
36	1260	2145
37	1296	2114
38	1331	2082
39	1364	2047
40	1396	2009
41	1430	1975
42	1466	1943
43	1499	1907
44	1533	1873
45	1566	1838
46	1596	1800
47	1627	1762
48	1660	1728
49	1692	1692
50	1703	1636
51	1735	1602
52	1772	1572
53	1807	1539
54	1839	1505
55	1873	1471
56	1908	1439
57	1947	1410
58	1987	1381
59	2022	1348
60	2058	1316
61	2100	1287
62	2134	1253
63	2167	1219
64	2199	1184
65	2230	1148
66	2264	1115
67	2294	1079
68	2327	1045
69	2356	1009
70	2387	975
71	2418	940
72	2453	907
73	2484	872
74	2520	840
75	2557	807
76	2596	775
77	2632	742
78	2669	709
79	2701	675
80	2733	641
81	2763	606
82	2794	572
83	2826	538
84	2855	503
85	2884	469
86	2914	435
87	2944	401
88	2973	367
89	3004	333
90	3035	300
91	3069	266
92	3102	233
93	3134	200
94	3173	167
95	3212	133
96	3257	100
97	3295	67
98	3332	33
99	3366	0
